City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Solnechnyy,RU,2021-11-12 22:31:02,50.7214,136.6319,19.74,91,76,3.49
152,Ouesso,CG,2021-11-12 22:31:03,1.6136,16.0517,70.03,98,81,2.44
153,Huicungo,PE,2021-11-12 22:31:03,-7.2833,-76.8,76.5,81,73,2.39
154,Tomatlan,MX,2021-11-12 22:31:04,19.9333,-105.25,81.46,73,36,5.79
155,Praia Da Vitoria,PT,2021-11-12 22:31:04,38.7333,-27.0667,70.05,83,75,23.91
156,Mogadishu,SO,2021-11-12 22:30:45,2.0371,45.3438,79.9,75,99,11.9
157,Redcar,GB,2021-11-12 22:31:05,54.6166,-1.06,54.37,91,96,7.0
158,Noyabrsk,RU,2021-11-12 22:31:05,63.1994,75.4507,13.71,94,100,14.97
159,Sao Filipe,CV,2021-11-12 22:31:06,14.8961,-24.4956,76.59,72,25,9.19
160,Moose Factory,CA,2021-11-12 22:31:06,51.2585,-80.6094,35.6,93,90,9.22
161,Leningradskiy,RU,2021-11-12 22:29:15,69.3833,178.4167,7.43,92,97,4.07
162,Anadyr,RU,2021-11-12 22:31:07,64.75,177.4833,23.5,92,90,4.0
163,Tessalit,ML,2021-11-12 22:26:14,20.1986,1.0114,71.06,14,98,7.99
164,Vardo,NO,2021-11-12 22:31:07,70.3705,31.1107,21.4,56,90,6.93
165,Guerrero Negro,MX,2021-11-12 22:30:32,27.9769,-114.0611,84.24,23,3,7.31
166,Ocos,GT,2021-11-12 22:31:08,14.5094,-92.1933,90.1,68,0,4.47
167,Locri,IT,2021-11-12 22:31:08,38.2414,16.2623,63.75,86,99,1.83
168,Mayumba,GA,2021-11-12 22:31:09,-3.432,10.6554,77.56,91,100,3.51
169,Anavra,GR,2021-11-12 22:31:09,39.2,22.0833,44.01,60,0,2.46
170,Stary Sacz,PL,2021-11-12 22:31:10,49.5636,20.635,45.82,91,4,4.59
171,Kishi,NG,2021-11-12 22:31:10,9.0833,3.85,79.41,55,100,4.52
172,Grootfontein,NA,2021-11-12 22:31:11,-19.5667,18.1167,74.77,41,100,5.75
173,Araouane,ML,2021-11-12 22:31:11,18.9048,-3.5265,75.61,9,100,9.1
